Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Headway,Time_Of_Week,Time_Of_Day
41440,30278,Addison,Loop,Brown,419,2022-12-01T15:20:00,2022-12-01T15:21:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,412,2022-12-01T15:30:00,2022-12-01T15:31:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,413,2022-12-01T15:40:00,2022-12-01T15:41:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,420,2022-12-01T15:47:00,2022-12-01T15:48:00,7.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,409,2022-12-01T15:55:00,2022-12-01T15:56:00,8.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,414,2022-12-01T16:04:00,2022-12-01T16:05:00,9.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,421,2022-12-01T16:10:00,2022-12-01T16:11:00,6.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,410,2022-12-01T16:17:00,2022-12-01T16:18:00,7.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,415,2022-12-01T16:25:00,2022-12-01T16:26:00,8.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,422,2022-12-01T16:33:00,2022-12-01T16:34:00,8.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,418,2022-12-01T16:39:00,2022-12-01T16:40:00,6.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,423,2022-12-01T16:50:00,2022-12-01T16:51:00,11.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,419,2022-12-01T17:00:00,2022-12-01T17:01:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,412,2022-12-01T17:10:00,2022-12-01T17:11:00,10.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,413,2022-12-01T17:24:00,2022-12-01T17:25:00,14.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,424,2022-12-01T17:30:00,2022-12-01T17:31:00,6.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,420,2022-12-01T17:38:00,2022-12-01T17:39:00,8.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,425,2022-12-01T17:39:00,2022-12-01T17:40:00,1.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,421,2022-12-01T17:46:00,2022-12-01T17:47:00,7.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,415,2022-12-01T17:55:00,2022-12-01T17:56:00,9.0,Weekday,Afternoon
41440,30278,Addison,Loop,Brown,422,2022-12-01T18:06:00,2022-12-01T18:07:00,11.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,417,2022-12-01T18:16:00,2022-12-01T18:17:00,10.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,423,2022-12-01T18:28:00,2022-12-01T18:29:00,12.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,427,2022-12-01T18:41:00,2022-12-01T18:42:00,13.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,418,2022-12-01T18:51:00,2022-12-01T18:52:00,10.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,424,2022-12-01T19:04:00,2022-12-01T19:05:00,13.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,420,2022-12-01T19:14:00,2022-12-01T19:15:00,10.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,425,2022-12-01T19:31:00,2022-12-01T19:32:00,17.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,422,2022-12-01T19:46:00,2022-12-01T19:47:00,15.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,418,2022-12-01T20:16:00,2022-12-01T20:17:00,30.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,421,2022-12-01T20:45:00,2022-12-01T20:46:00,29.0,Weekday,Evening
41440,30278,Addison,Loop,Brown,419,2022-12-01T20:59:00,2022-12-01T21:00:00,14.0,Weekday,Night
41440,30278,Addison,Loop,Brown,419,2022-12-01T21:00:00,2022-12-01T21:01:00,1.0,Weekday,Night
41440,30278,Addison,Loop,Brown,425,2022-12-01T21:15:00,2022-12-01T21:16:00,15.0,Weekday,Night
41440,30278,Addison,Loop,Brown,424,2022-12-01T21:35:00,2022-12-01T21:36:00,20.0,Weekday,Night
